Date,RECORD,SO2_Avg,NO_Avg,NO2_Avg,NOx_Avg,PM10_Avg,PM25_Avg,Line_Volts_Avg,Batt_Volt_Min,WS_ms_S_WVT,WindDir_D1_WVT,WindDir_SD1_WVT,WS_ms_Max,Temperature_(degC),Elev
2011-08-17 12:45:00,0,4.251899,5.159317,7.103784,9.903814,53.77097,7.051931,229.3744,11.76831,4.290061,294.5582,15.09508,6.991211,325.2229,-11.22108
2011-08-17 12:50:00,1,4.78598,5.482531,8.178858,11.32457,62.95923,7.280082,229.3388,11.7738,3.272707,276.5665,26.51595,8.113591,325.3376,-20.82758
2011-08-17 12:55:00,2,4.696102,4.291653,7.707,9.549489,94.77588,7.325021,229.2273,11.77929,2.669597,285.5751,18.05341,6.666667,325.2745,-11.80526
2011-08-17 13:00:00,3,4.179202,4.336486,7.684332,9.818873,57.54271,7.212489,229.0307,11.78399,3.19991,289.8709,12.47749,6.551725,325.5999,-17.77687
2011-08-17 13:05:00,4,4.043936,5.054915,8.020468,10.76135,66.7249,7.301551,228.8363,11.77738,4.049133,287.6166,13.12717,7.410413,325.7523,-18.68559
2011-08-17 13:10:00,5,3.459419,4.650013,7.705101,9.996431,61.30358,7.165929,228.6519,11.77602,3.457968,261.7226,14.28685,5.152131,325.5616,-20.73021
2011-08-17 13:15:00,6,3.908389,4.851792,8.131247,10.55714,57.57012,7.16538,228.5051,11.77536,4.134776,264.2031,22.4435,6.22042,326.0669,-26.45841
2011-08-17 13:20:00,7,2.807729,5.166221,7.839179,10.55706,56.64874,7.187786,228.3164,11.77532,3.938472,295.2534,14.55435,5.949967,325.778,-14.12575
2011-08-17 13:25:00,8,2.807727,5.211142,8.423182,11.29829,79.42498,7.008087,228.1725,11.77532,3.397566,255.0991,14.39908,6.044625,325.9669,-16.1217
2011-08-17 13:30:00,9,3.728662,4.739443,8.28841,10.53459,56.58132,7.030549,227.9928,11.77532,3.807528,242.7908,13.71768,5.530765,326.2571,-12.21095
2011-08-17 13:35:00,10,2.538185,4.424978,7.592094,9.613658,63.8814,7.16532,227.8347,11.77532,3.069642,280.5981,15.61035,5.638946,325.8997,-10.13387
2011-08-17 13:40:00,11,2.088949,4.784367,7.457323,9.905661,48.65229,7.16532,227.6766,11.77532,4.19991,267.2927,13.37329,6.355647,326.254,-16.3651
2011-08-17 13:45:00,12,2.021476,4.671867,7.501935,9.725574,59.29658,7.299772,227.5087,11.77438,3.459054,265.9085,19.1194,5.902637,326.1861,-21.71123
2011-08-17 13:50:00,13,2.448097,4.60421,6.850175,9.073669,67.64827,7.231988,227.334,11.76258,3.166508,258.4783,11.20805,4.981591,326.1075,-0.9837799
2011-08-17 13:55:00,14,2.605149,4.716218,7.164161,9.454895,4.873469,7.141703,227.187,11.75696,3.443317,256.3146,14.00164,6.826652,326.511,-15.87687
2011-08-17 14:00:00,15,2.537759,5.322557,6.894621,9.971374,49.92424,7.253949,227.0383,11.75688,4.092603,257.8405,17.3385,5.812784,326.3406,-6.273724
2011-08-17 14:05:00,16,2.807188,4.716051,6.714758,9.050325,56.99682,6.400372,226.8768,11.75596,3.271602,267.6646,15.46331,6.786078,326.3906,-16.85027
2011-08-17 14:10:00,17,1.661682,4.08686,5.973101,7.387787,30.13505,5.681182,226.7656,11.74954,2.700913,292.7092,17.84013,5.731668,326.6343,-2.672504
2011-08-17 14:15:00,18,3.907055,4.154054,6.332126,7.859022,57.3933,5.52377,226.6272,11.74942,3.899517,249.5997,16.92026,7.191621,326.8673,0.052742
2011-08-17 14:20:00,19,4.041767,5.366569,7.118001,10.12687,46.18842,5.658474,226.515,11.74941,2.57831,267.7857,22.92299,4.616426,326.4755,-26.92469
2011-08-17 14:25:00,20,3.862132,4.872574,6.466826,8.936794,68.95702,5.523747,226.3712,11.74941,3.095412,270.2192,16.52393,5.920228,326.5982,-23.73408
2011-08-17 14:30:00,21,3.233413,4.625577,6.601552,8.712252,60.85104,5.636018,226.2706,11.74393,3.858742,253.1527,12.39089,7.076112,326.6294,-24.61015
2011-08-17 14:35:00,22,2.874145,4.086675,5.972832,7.409905,21.30909,5.546202,226.1377,11.74393,1.787298,260.6711,36.55011,4.11557,326.4108,-19.00465
2011-08-17 14:40:00,23,3.704796,5.52352,6.960532,10.21627,23.48616,5.568422,225.9915,11.74312,3.444839,266.9008,14.85262,5.513524,326.6138,-12.72966
2011-08-17 14:45:00,24,3.547497,5.253882,7.274615,10.28324,28.46982,5.568231,225.8686,11.74257,3.764416,266.2028,12.60831,5.797301,326.6788,-24.3081
2011-08-17 14:50:00,25,4.041152,5.635173,7.363886,10.61927,57.4741,5.635162,225.7332,11.74199,2.718243,256.5023,15.28801,4.168919,326.7094,-14.91891
2011-08-17 14:55:00,26,4.041032,4.894154,6.241164,8.261702,44.94527,5.500292,225.6262,11.73595,1.297748,244.0235,57.37758,3.445946,326.3441,-41.46486
2011-08-17 15:00:00,27,4.108078,4.108077,6.038638,7.475335,23.61593,5.567229,225.4656,11.7352,2.091442,216.4426,18.0244,4.560811,326.6324,-14.62702
2011-08-17 15:05:00,28,4.467012,4.19764,6.756628,8.350383,18.67614,5.948527,225.3814,11.74006,2.48446,229.1705,32.87059,4.837838,326.7991,-13.75135
2011-08-17 15:10:00,29,4.040417,4.287331,6.195306,7.991046,50.55009,6.127965,225.29,11.73998,1.929054,227.567,18.66686,3.743244,326.9212,-9.745937
2011-08-17 15:15:00,30,4.28732,4.534234,6.46465,8.641979,41.66108,6.015716,225.1853,11.73998,2.343469,219.6642,10.19519,3.878379,326.6996,-2.854046
2011-08-17 15:20:00,31,4.040406,4.197532,5.858588,7.13805,49.29295,6.083055,225.0883,11.73449,3.880631,240.9723,13.58652,6.662163,326.6401,-7.556751
2011-08-17 15:25:00,32,4.040406,4.085299,5.566781,6.823796,36.90237,6.060608,224.9698,11.73449,3.236036,226.9149,13.7168,4.864865,326.5045,-15.58378
2011-08-17 15:30:00,33,3.905725,4.197532,6.015715,7.497197,40.06736,6.083055,224.9123,11.73449,2.013063,231.2757,36.56466,3.398649,326.786,-21.87567
2011-08-17 15:35:00,34,3.367004,4.152639,5.791247,7.13805,59.93268,6.083055,224.8369,11.73449,2.199775,210.9841,16.97574,3.756757,326.836,-19.65405
2011-08-17 15:40:00,35,3.187431,3.973065,5.140294,6.105501,80.26939,6.083055,224.7543,11.73449,2.543018,197.1618,25.12233,6.520271,326.8432,-11.98378
2011-08-17 15:45:00,36,4.152639,5.050507,7.54209,10.21325,14.81482,5.387207,224.6753,11.73998,3.566892,248.161,12.88805,5.614865,326.9586,-19.55675
2011-08-17 15:50:00,37,3.838385,5.342314,7.429857,10.46016,43.38947,6.127948,224.6034,11.72901,2.956532,262.032,12.36436,4.45946,326.8599,-23.72432
2011-08-17 15:55:00,38,3.815938,4.444446,6.442202,7.991024,44.08531,6.127948,224.5388,11.72901,2.246397,232.5611,9.165829,4.013514,326.7257,-11.0108
2011-08-17 16:00:00,39,3.793492,4.287319,6.419755,8.080812,47.76657,6.172842,224.467,11.72901,3.065766,237.08,8.222404,4.614865,326.7667,-19.15134
2011-08-17 16:05:00,40,3.726152,4.197532,6.150395,7.676771,31.06623,14.56791,224.4275,11.72901,3.415316,245.8269,7.246721,5.405406,326.6986,-24.61621
2011-08-17 16:10:00,41,4.040406,4.89338,7.60943,10.01123,36.70035,22.94052,224.3951,11.72901,1.755406,245.4125,22.76471,3.324325,326.8126,-7.248642
2011-08-17 16:15:00,42,4.040406,4.579126,7.115603,9.180698,74.119,22.94052,224.3305,11.72353,2.808109,246.2879,14.43899,5.067568,326.7793,-24.3081
